CrimeTime,CrimeCode,Description,Inside/Outside,Weapon,Post,District,Latitude,Longitude,HourBin,Description_encoded,Weapon_encoded,HourBin_encoded,Inside/Outside_encoded,cluster
23.0,4A,AGG. ASSAULT,Outside,FIREARM,622.0,NORTHWESTERN,39.33096,-76.69447,Evening,0,0,1,1,21
2.0,4E,COMMON ASSAULT,Inside,HANDS,312.0,EASTERN,39.29883,-76.61042,Night,1,1,3,0,0
14.0,4E,COMMON ASSAULT,Inside,HANDS,432.0,NORTHEASTERN,39.32232,-76.5687,Afternoon,1,1,0,0,7
14.0,4E,COMMON ASSAULT,Inside,HANDS,932.0,SOUTHERN,39.28184,-76.63,Afternoon,1,1,0,0,7
14.0,4C,AGG. ASSAULT,Inside,OTHER,913.0,SOUTHERN,39.23025,-76.60038,Afternoon,0,3,0,0,20
16.0,3AF,ROBBERY - STREET,Outside,FIREARM,211.0,SOUTHEASTERN,39.28695,-76.6042,Afternoon,6,0,0,1,6
16.0,4E,COMMON ASSAULT,Outside,HANDS,222.0,SOUTHEASTERN,39.29452,-76.57874,Afternoon,1,1,0,1,5
16.0,4E,COMMON ASSAULT,Outside,HANDS,222.0,SOUTHEASTERN,39.29452,-76.57874,Afternoon,1,1,0,1,5
18.0,4A,AGG. ASSAULT,Outside,FIREARM,142.0,CENTRAL,39.29731,-76.6206,Evening,0,0,1,1,21
18.0,4E,COMMON ASSAULT,Inside,HANDS,621.0,NORTHWESTERN,39.32513,-76.68821,Evening,1,1,1,0,8
18.0,4E,COMMON ASSAULT,Inside,HANDS,323.0,EASTERN,39.30482,-76.58017,Evening,1,1,1,0,8
19.0,3AF,ROBBERY - STREET,Outside,FIREARM,532.0,NORTHERN,39.34906,-76.65981,Evening,6,0,1,1,9
19.0,3AF,ROBBERY - STREET,Outside,FIREARM,532.0,NORTHERN,39.34906,-76.65981,Evening,6,0,1,1,9
19.0,4B,AGG. ASSAULT,Inside,KNIFE,514.0,NORTHERN,39.31246,-76.61803,Evening,0,2,1,0,12
19.0,3AF,ROBBERY - STREET,Outside,FIREARM,533.0,NORTHERN,39.34707,-76.65817,Evening,6,0,1,1,9
19.0,3AF,ROBBERY - STREET,Outside,FIREARM,533.0,NORTHERN,39.34707,-76.65817,Evening,6,0,1,1,9
20.0,4E,COMMON ASSAULT,Inside,HANDS,444.0,NORTHEASTERN,39.33219,-76.54486,Evening,1,1,1,0,8
21.0,4E,COMMON ASSAULT,Inside,HANDS,913.0,SOUTHERN,39.23824,-76.60069,Evening,1,1,1,0,8
23.0,3AF,ROBBERY - STREET,Outside,FIREARM,415.0,NORTHEASTERN,39.35776,-76.58215,Evening,6,0,1,1,9
1.0,4E,COMMON ASSAULT,Inside,HANDS,723.0,WESTERN,39.30677,-76.6549,Night,1,1,3,0,0
1.0,3AO,ROBBERY - STREET,Outside,OTHER,132.0,CENTRAL,39.3101,-76.62404,Night,6,3,3,1,69
1.0,4E,COMMON ASSAULT,Inside,HANDS,732.0,WESTERN,39.31461,-76.64648,Night,1,1,3,0,0
1.0,4B,AGG. ASSAULT,Outside,KNIFE,111.0,CENTRAL,39.29298,-76.62119,Night,0,2,3,1,4
2.0,4E,COMMON ASSAULT,Inside,HANDS,832.0,SOUTHWESTERN,39.26157,-76.66657,Night,1,1,3,0,0
4.0,4E,COMMON ASSAULT,Inside,HANDS,922.0,SOUTHERN,39.24344,-76.62641,Night,1,1,3,0,0
5.0,4E,COMMON ASSAULT,Inside,HANDS,111.0,CENTRAL,39.29376,-76.6136,Night,1,1,3,0,0
7.0,4E,COMMON ASSAULT,Inside,HANDS,423.0,NORTHEASTERN,39.37086,-76.56494,Morning,1,1,2,0,1
9.0,4E,COMMON ASSAULT,Inside,HANDS,212.0,SOUTHEASTERN,39.29044,-76.59127,Morning,1,1,2,0,1
9.0,3AF,ROBBERY - STREET,Outside,FIREARM,212.0,SOUTHEASTERN,39.2867,-76.59147,Morning,6,0,2,1,14
12.0,4C,AGG. ASSAULT,Inside,OTHER,231.0,SOUTHEASTERN,39.28891,-76.56921,Afternoon,0,3,0,0,22
12.0,4E,COMMON ASSAULT,Outside,HANDS,713.0,WESTERN,39.29896,-76.64023,Afternoon,1,1,0,1,5
14.0,3AF,ROBBERY - STREET,Outside,FIREARM,111.0,CENTRAL,39.29406,-76.61823,Afternoon,6,0,0,1,6
14.0,3LF,ROBBERY - COMMERCIAL,Inside,FIREARM,213.0,SOUTHEASTERN,39.28446,-76.59631,Afternoon,4,0,0,0,64
15.0,4B,AGG. ASSAULT,Inside,KNIFE,711.0,WESTERN,39.28838,-76.64145,Afternoon,0,2,0,0,23
15.0,3AK,ROBBERY - STREET,Outside,KNIFE,342.0,EASTERN,39.31149,-76.60888,Afternoon,6,2,0,1,39
16.0,4E,COMMON ASSAULT,Outside,HANDS,813.0,SOUTHWESTERN,39.3059,-76.66734,Afternoon,1,1,0,1,5
16.0,3AF,ROBBERY - STREET,Outside,FIREARM,312.0,EASTERN,39.3015,-76.60354,Afternoon,6,0,0,1,6
17.0,4E,COMMON ASSAULT,Inside,HANDS,413.0,NORTHEASTERN,39.34537,-76.59506,Afternoon,1,1,0,0,7
17.0,3CF,ROBBERY - COMMERCIAL,Inside,FIREARM,132.0,CENTRAL,39.30878,-76.62557,Afternoon,4,0,0,0,59
18.0,4E,COMMON ASSAULT,Outside,HANDS,412.0,NORTHEASTERN,39.34021,-76.59093,Evening,1,1,1,1,11
21.0,4E,COMMON ASSAULT,Inside,HANDS,321.0,EASTERN,39.29768,-76.58786,Evening,1,1,1,0,8
22.0,4E,COMMON ASSAULT,Inside,HANDS,432.0,NORTHEASTERN,39.32207,-76.56944,Evening,1,1,1,0,8
19.0,4A,AGG. ASSAULT,Inside,FIREARM,742.0,WESTERN,39.3055,-76.64062,Evening,0,0,1,0,24
20.0,4E,COMMON ASSAULT,Inside,HANDS,912.0,SOUTHERN,39.23458,-76.59662,Evening,1,1,1,0,8
21.0,4A,AGG. ASSAULT,Outside,FIREARM,133.0,CENTRAL,39.31089,-76.63438,Evening,0,0,1,1,21
21.0,4A,AGG. ASSAULT,Outside,FIREARM,321.0,EASTERN,39.29529,-76.59129,Evening,0,0,1,1,21
21.0,4A,AGG. ASSAULT,Outside,FIREARM,321.0,EASTERN,39.29529,-76.59129,Evening,0,0,1,1,21
22.0,4D,AGG. ASSAULT,Inside,HANDS,514.0,NORTHERN,39.31645,-76.61687,Evening,0,1,1,0,19
0.0,4E,COMMON ASSAULT,Inside,HANDS,132.0,CENTRAL,39.30602,-76.63203,Night,1,1,3,0,0
2.0,4E,COMMON ASSAULT,Inside,HANDS,723.0,WESTERN,39.30895,-76.6551,Night,1,1,3,0,0
2.0,4E,COMMON ASSAULT,Inside,HANDS,813.0,SOUTHWESTERN,39.30515,-76.66813,Night,1,1,3,0,0
9.0,4E,COMMON ASSAULT,Inside,HANDS,712.0,WESTERN,39.29104,-76.63825,Morning,1,1,2,0,1
10.0,4E,COMMON ASSAULT,Outside,HANDS,934.0,SOUTHERN,39.28511,-76.6486,Morning,1,1,2,1,13
11.0,4E,COMMON ASSAULT,Inside,HANDS,513.0,NORTHERN,39.3255,-76.60618,Morning,1,1,2,0,1
11.0,4E,COMMON ASSAULT,Inside,HANDS,935.0,SOUTHERN,39.28505,-76.63861,Morning,1,1,2,0,1
12.0,4C,AGG. ASSAULT,Inside,OTHER,712.0,WESTERN,39.29106,-76.63245,Afternoon,0,3,0,0,22
13.0,4C,AGG. ASSAULT,Outside,OTHER,342.0,NORTHEASTERN,39.31665,-76.59543,Afternoon,0,3,0,1,16
14.0,3AF,ROBBERY - STREET,Outside,FIREARM,933.0,SOUTHERN,39.28633,-76.64374,Afternoon,6,0,0,1,6
14.0,4B,AGG. ASSAULT,Inside,KNIFE,813.0,SOUTHWESTERN,39.30287,-76.66721,Afternoon,0,2,0,0,23
15.0,4E,COMMON ASSAULT,Outside,HANDS,923.0,SOUTHERN,39.25555,-76.64276,Afternoon,1,1,0,1,5
15.0,4E,COMMON ASSAULT,Outside,HANDS,923.0,SOUTHERN,39.25555,-76.64276,Afternoon,1,1,0,1,5
15.0,4E,COMMON ASSAULT,Outside,HANDS,712.0,WESTERN,39.28862,-76.63674,Afternoon,1,1,0,1,5
17.0,3AF,ROBBERY - STREET,Outside,FIREARM,532.0,NORTHERN,39.35448,-76.66237,Afternoon,6,0,0,1,6
17.0,4E,COMMON ASSAULT,Outside,HANDS,831.0,SOUTHWESTERN,39.26703,-76.65112,Afternoon,1,1,0,1,5
17.0,4E,COMMON ASSAULT,Inside,HANDS,434.0,NORTHEASTERN,39.31592,-76.57672,Afternoon,1,1,0,0,7
18.0,4C,AGG. ASSAULT,Inside,OTHER,133.0,CENTRAL,39.31279,-76.62968,Evening,0,3,1,0,18
19.0,4A,AGG. ASSAULT,Outside,FIREARM,934.0,SOUTHERN,39.28527,-76.6451,Evening,0,0,1,1,21
23.0,4E,COMMON ASSAULT,Outside,HANDS,513.0,NORTHERN,39.32215,-76.60946,Evening,1,1,1,1,11
10.0,4C,AGG. ASSAULT,Outside,OTHER,321.0,EASTERN,39.2987,-76.58651,Morning,0,3,2,1,25
10.0,4E,COMMON ASSAULT,Inside,HANDS,731.0,WESTERN,39.3108,-76.65106,Morning,1,1,2,0,1
11.0,4E,COMMON ASSAULT,Inside,HANDS,323.0,EASTERN,39.30145,-76.58108,Morning,1,1,2,0,1
1.0,4E,COMMON ASSAULT,Outside,HANDS,932.0,SOUTHERN,39.28066,-76.63538,Night,1,1,3,1,26
1.0,3NF,ROBBERY - STREET,Outside,FIREARM,133.0,CENTRAL,39.31582,-76.6292,Night,6,0,3,1,2
1.0,4E,COMMON ASSAULT,Inside,HANDS,323.0,EASTERN,39.30384,-76.57934,Night,1,1,3,0,0
4.0,4B,AGG. ASSAULT,Outside,KNIFE,932.0,SOUTHERN,39.27931,-76.63643,Night,0,2,3,1,4
5.0,3AF,ROBBERY - STREET,Outside,FIREARM,643.0,NORTHWESTERN,39.32589,-76.67059,Night,6,0,3,1,2
5.0,3AF,ROBBERY - STREET,Outside,FIREARM,643.0,NORTHWESTERN,39.32884,-76.66919,Night,6,0,3,1,2
7.0,4E,COMMON ASSAULT,Inside,HANDS,331.0,EASTERN,39.30495,-76.5882,Morning,1,1,2,0,1
7.0,4E,COMMON ASSAULT,Inside,HANDS,331.0,EASTERN,39.30495,-76.5882,Morning,1,1,2,0,1
13.0,3AF,ROBBERY - STREET,Outside,FIREARM,222.0,SOUTHEASTERN,39.29348,-76.57772,Afternoon,6,0,0,1,6
13.0,3AF,ROBBERY - STREET,Outside,FIREARM,222.0,SOUTHEASTERN,39.29348,-76.57772,Afternoon,6,0,0,1,6
13.0,4E,COMMON ASSAULT,Inside,HANDS,632.0,NORTHWESTERN,39.35022,-76.68925,Afternoon,1,1,0,0,7
14.0,4E,COMMON ASSAULT,Inside,HANDS,523.0,NORTHERN,39.36647,-76.6196,Afternoon,1,1,0,0,7
14.0,4E,COMMON ASSAULT,Inside,HANDS,613.0,NORTHWESTERN,39.33699,-76.6682,Afternoon,1,1,0,0,7
15.0,4B,AGG. ASSAULT,Inside,KNIFE,224.0,SOUTHEASTERN,39.29545,-76.57344,Afternoon,0,2,0,0,23
16.0,4C,AGG. ASSAULT,Inside,OTHER,822.0,SOUTHWESTERN,39.2935,-76.69266,Afternoon,0,3,0,0,22
18.0,3AK,ROBBERY - STREET,Outside,KNIFE,132.0,CENTRAL,39.30416,-76.6261,Evening,6,2,1,1,27
18.0,4B,AGG. ASSAULT,Outside,KNIFE,614.0,NORTHWESTERN,39.35084,-76.6725,Evening,0,2,1,1,38
18.0,4E,COMMON ASSAULT,Inside,HANDS,323.0,EASTERN,39.3,-76.57898,Evening,1,1,1,0,8
18.0,4E,COMMON ASSAULT,Inside,HANDS,832.0,SOUTHWESTERN,39.27293,-76.67423,Evening,1,1,1,0,8
19.0,4E,COMMON ASSAULT,Outside,HANDS,731.0,WESTERN,39.31868,-76.65399,Evening,1,1,1,1,11
19.0,3AF,ROBBERY - STREET,Outside,FIREARM,543.0,NORTHERN,39.32854,-76.60847,Evening,6,0,1,1,9
19.0,3CF,ROBBERY - COMMERCIAL,Inside,FIREARM,743.0,WESTERN,39.29901,-76.64023,Evening,4,0,1,0,28
19.0,4E,COMMON ASSAULT,Outside,HANDS,844.0,SOUTHWESTERN,39.29734,-76.68142,Evening,1,1,1,1,11
20.0,3AK,ROBBERY - STREET,Outside,KNIFE,141.0,CENTRAL,39.30258,-76.61154,Evening,6,2,1,1,27
20.0,3AF,ROBBERY - STREET,Outside,FIREARM,222.0,SOUTHEASTERN,39.293,-76.57006,Evening,6,0,1,1,9
20.0,4E,COMMON ASSAULT,Outside,HANDS,443.0,NORTHEASTERN,39.33076,-76.5432,Evening,1,1,1,1,11
21.0,4E,COMMON ASSAULT,Inside,HANDS,111.0,CENTRAL,39.28973,-76.60963,Evening,1,1,1,0,8
21.0,4E,COMMON ASSAULT,Outside,HANDS,721.0,WESTERN,39.29718,-76.66333,Evening,1,1,1,1,11
22.0,4C,AGG. ASSAULT,Outside,OTHER,934.0,SOUTHERN,39.28416,-76.64674,Evening,0,3,1,1,10
23.0,4E,COMMON ASSAULT,Outside,HANDS,213.0,SOUTHEASTERN,39.28654,-76.59449,Evening,1,1,1,1,11
23.0,4E,COMMON ASSAULT,Inside,HANDS,533.0,NORTHERN,39.33985,-76.66074,Evening,1,1,1,0,8
0.0,3AF,ROBBERY - STREET,Outside,FIREARM,123.0,CENTRAL,39.29621,-76.63088,Night,6,0,3,1,2
0.0,4E,COMMON ASSAULT,Inside,HANDS,442.0,NORTHEASTERN,39.32737,-76.56543,Night,1,1,3,0,0
1.0,4E,COMMON ASSAULT,Outside,HANDS,942.0,SOUTHERN,39.27582,-76.61372,Night,1,1,3,1,26
1.0,4E,COMMON ASSAULT,Inside,HANDS,941.0,SOUTHERN,39.27408,-76.62769,Night,1,1,3,0,0
2.0,3AF,ROBBERY - STREET,Outside,FIREARM,212.0,SOUTHEASTERN,39.29195,-76.58475,Night,6,0,3,1,2
2.0,4E,COMMON ASSAULT,Inside,HANDS,113.0,CENTRAL,39.28623,-76.62092,Night,1,1,3,0,0
3.0,3AO,ROBBERY - STREET,Outside,OTHER,111.0,CENTRAL,39.28973,-76.61022,Night,6,3,3,1,69
4.0,4E,COMMON ASSAULT,Inside,HANDS,513.0,NORTHERN,39.3243,-76.60808,Night,1,1,3,0,0
8.0,4E,COMMON ASSAULT,Inside,HANDS,612.0,NORTHWESTERN,39.33173,-76.66378,Morning,1,1,2,0,1
9.0,4E,COMMON ASSAULT,Inside,HANDS,524.0,NORTHERN,39.35002,-76.60748,Morning,1,1,2,0,1
10.0,4E,COMMON ASSAULT,Inside,HANDS,432.0,NORTHEASTERN,39.31943,-76.57076,Morning,1,1,2,0,1
11.0,4E,COMMON ASSAULT,Inside,HANDS,532.0,NORTHERN,39.34177,-76.65974,Morning,1,1,2,0,1
12.0,4E,COMMON ASSAULT,Inside,HANDS,331.0,EASTERN,39.30542,-76.59373,Afternoon,1,1,0,0,7
14.0,4E,COMMON ASSAULT,Inside,HANDS,842.0,SOUTHWESTERN,39.28093,-76.67228,Afternoon,1,1,0,0,7
14.0,4B,AGG. ASSAULT,Outside,KNIFE,211.0,SOUTHEASTERN,39.28842,-76.59944,Afternoon,0,2,0,1,29
14.0,4E,COMMON ASSAULT,Inside,HANDS,614.0,NORTHWESTERN,39.34685,-76.67502,Afternoon,1,1,0,0,7
14.0,4E,COMMON ASSAULT,Outside,HANDS,132.0,CENTRAL,39.30941,-76.62907,Afternoon,1,1,0,1,5
14.0,4E,COMMON ASSAULT,Inside,HANDS,922.0,SOUTHERN,39.2508,-76.63091,Afternoon,1,1,0,0,7
15.0,4E,COMMON ASSAULT,Inside,HANDS,312.0,EASTERN,39.29768,-76.60184,Afternoon,1,1,0,0,7
16.0,4E,COMMON ASSAULT,Inside,HANDS,343.0,EASTERN,39.30725,-76.5996,Afternoon,1,1,0,0,7
18.0,4E,COMMON ASSAULT,Inside,HANDS,231.0,SOUTHEASTERN,39.28828,-76.57012,Evening,1,1,1,0,8
18.0,4E,COMMON ASSAULT,Inside,HANDS,433.0,NORTHEASTERN,39.30862,-76.56003,Evening,1,1,1,0,8
19.0,3AF,ROBBERY - STREET,Outside,FIREARM,411.0,NORTHEASTERN,39.32601,-76.59357,Evening,6,0,1,1,9
19.0,3AF,ROBBERY - STREET,Outside,FIREARM,411.0,NORTHEASTERN,39.32601,-76.59357,Evening,6,0,1,1,9
19.0,4B,AGG. ASSAULT,Outside,KNIFE,531.0,CENTRAL,39.31699,-76.63392,Evening,0,2,1,1,17
19.0,3AF,ROBBERY - STREET,Outside,FIREARM,932.0,SOUTHERN,39.27984,-76.6241,Evening,6,0,1,1,9
20.0,3AF,ROBBERY - STREET,Outside,FIREARM,932.0,SOUTHERN,39.28162,-76.63794,Evening,6,0,1,1,9
20.0,4E,COMMON ASSAULT,Inside,HANDS,641.0,NORTHWESTERN,39.31428,-76.68014,Evening,1,1,1,0,8
20.0,3AF,ROBBERY - STREET,Outside,FIREARM,932.0,SOUTHERN,39.28162,-76.63794,Evening,6,0,1,1,9
20.0,3AF,ROBBERY - STREET,Outside,FIREARM,932.0,SOUTHERN,39.28162,-76.63794,Evening,6,0,1,1,9
20.0,3AK,ROBBERY - STREET,Outside,KNIFE,222.0,SOUTHEASTERN,39.29125,-76.56937,Evening,6,2,1,1,27
21.0,4E,COMMON ASSAULT,Inside,HANDS,941.0,SOUTHERN,39.27408,-76.62769,Evening,1,1,1,0,8
21.0,4A,AGG. ASSAULT,Outside,FIREARM,913.0,SOUTHERN,39.23726,-76.6054,Evening,0,0,1,1,30
21.0,4C,AGG. ASSAULT,Inside,OTHER,241.0,SOUTHEASTERN,39.29176,-76.55985,Evening,0,3,1,0,18
21.0,4E,COMMON ASSAULT,Outside,HANDS,212.0,SOUTHEASTERN,39.28792,-76.58717,Evening,1,1,1,1,11
21.0,4E,COMMON ASSAULT,Outside,HANDS,212.0,SOUTHEASTERN,39.28792,-76.58717,Evening,1,1,1,1,11
22.0,3AF,ROBBERY - STREET,Outside,FIREARM,212.0,SOUTHEASTERN,39.29098,-76.59315,Evening,6,0,1,1,9
22.0,3AK,ROBBERY - STREET,Outside,KNIFE,141.0,CENTRAL,39.31117,-76.61656,Evening,6,2,1,1,27
22.0,3AK,ROBBERY - STREET,Outside,KNIFE,141.0,CENTRAL,39.31133,-76.61661,Evening,6,2,1,1,27
22.0,4E,COMMON ASSAULT,Outside,HANDS,142.0,CENTRAL,39.29669,-76.62012,Evening,1,1,1,1,11
23.0,4E,COMMON ASSAULT,Outside,HANDS,641.0,NORTHWESTERN,39.31529,-76.67307,Evening,1,1,1,1,11
20.0,4E,COMMON ASSAULT,Outside,HANDS,411.0,NORTHEASTERN,39.32,-76.59553,Evening,1,1,1,1,11
20.0,4B,AGG. ASSAULT,Inside,KNIFE,222.0,SOUTHEASTERN,39.29419,-76.57487,Evening,0,2,1,0,12
20.0,4E,COMMON ASSAULT,Outside,HANDS,111.0,CENTRAL,39.28954,-76.61533,Evening,1,1,1,1,11
20.0,4E,COMMON ASSAULT,Outside,HANDS,714.0,WESTERN,39.29056,-76.64803,Evening,1,1,1,1,11
20.0,4E,COMMON ASSAULT,Outside,HANDS,111.0,CENTRAL,39.28862,-76.6095,Evening,1,1,1,1,11
21.0,4C,AGG. ASSAULT,Inside,OTHER,813.0,SOUTHWESTERN,39.30432,-76.67226,Evening,0,3,1,0,18
21.0,4E,COMMON ASSAULT,Inside,HANDS,221.0,SOUTHEASTERN,39.29732,-76.58365,Evening,1,1,1,0,8
21.0,3AF,ROBBERY - STREET,Outside,FIREARM,533.0,NORTHERN,39.33782,-76.66144,Evening,6,0,1,1,9
21.0,4E,COMMON ASSAULT,Inside,HANDS,411.0,NORTHEASTERN,39.31889,-76.5987,Evening,1,1,1,0,8
22.0,3AF,ROBBERY - STREET,Outside,FIREARM,221.0,SOUTHEASTERN,39.2898,-76.5732,Evening,6,0,1,1,9
22.0,4E,COMMON ASSAULT,Inside,HANDS,112.0,SOUTHERN,39.28174,-76.61279,Evening,1,1,1,0,8
0.0,3AF,ROBBERY - STREET,Outside,FIREARM,413.0,NORTHEASTERN,39.34495,-76.59712,Night,6,0,3,1,2
0.0,4E,COMMON ASSAULT,Outside,HANDS,531.0,NORTHERN,39.33639,-76.63794,Night,1,1,3,1,26
